applicant_id,name,domain,university,application_date,status
APP0001,David Okeke,UI/UX Design,Covenant University,2025-01-20,Under Review
APP0002,Samuel Williams,UI/UX Design,Lagos State University,2025-01-21,Selected
APP0003,Chinedu Chukwu,Data Science,Covenant University,2025-02-03,Selected
APP0004,Yusuf Okeke,Cyber Security,"Federal University of Technology, Akure",2025-01-22,Selected
APP0005,Oluwatobi Osei,Web Development,Covenant University,2025-02-21,Selected
APP0006,Michael Okafor,Mobile App Development,University of Ibadan,2025-02-16,Rejected
APP0007,Michael Adeyemi,Web Development,Babcock University,2025-01-29,Rejected
APP0008,Chinedu Osei,UI/UX Design,Lagos State University,2025-01-13,Selected
APP0009,Yusuf Osei,UI/UX Design,"University of Nigeria, Nsukka",2025-02-01,Rejected
APP0010,Yusuf Adeyemi,UI/UX Design,Ahmadu Bello University,2025-02-24,Selected
APP0011,Amina Chukwu,Web Development,"Federal University of Technology, Akure",2025-02-05,Selected
APP0012,Kelechi Chukwu,Web Development,Lagos State University,2025-02-18,Rejected
APP0013,Mariam Osei,Web Development,"University of Nigeria, Nsukka",2025-02-10,Rejected
APP0014,Yusuf Osei,Mobile App Development,Ahmadu Bello University,2025-01-24,Under Review
APP0015,Adaeze Afolabi,Cyber Security,Lagos State University,2025-02-26,Rejected
APP0016,Yusuf Olawale,Cyber Security,"University of Nigeria, Nsukka",2025-02-19,Rejected
APP0017,Yusuf Peter,UI/UX Design,University of Lagos,2025-02-28,Selected
APP0018,Sarah Chukwu,Mobile App Development,"University of Nigeria, Nsukka",2025-02-03,Under Review
APP0019,Ibrahim Peter,Web Development,Lagos State University,2025-01-10,Rejected
APP0020,Yusuf Olawale,Artificial Intelligence,Ahmadu Bello University,2025-02-22,Under Review
APP0021,Fatima Udo,Artificial Intelligence,Covenant University,2025-01-06,Selected
APP0022,Chinedu Johnson,Cyber Security,Covenant University,2025-02-14,Selected
APP0023,Mariam Olawale,Cyber Security,University of Lagos,2025-01-26,Rejected
APP0024,Yusuf Eze,UI/UX Design,Ahmadu Bello University,2025-02-05,Rejected
APP0025,Michael Bello,Mobile App Development,University of Ibadan,2025-01-14,Rejected
APP0026,Michael Peter,Mobile App Development,University of Ibadan,2025-02-08,Under Review
APP0027,Precious Adeyemi,Artificial Intelligence,"Federal University of Technology, Akure",2025-01-10,Selected
APP0028,Oluwatobi Olawale,Artificial Intelligence,University of Lagos,2025-02-07,Rejected
APP0029,Michael Udo,Data Science,Covenant University,2025-02-06,Under Review
APP0030,Ibrahim Eze,UI/UX Design,Ahmadu Bello University,2025-02-02,Rejected
APP0031,Sarah Mohammed,Web Development,Covenant University,2025-02-10,Selected
APP0032,Joy Ibrahim,Artificial Intelligence,University of Lagos,2025-02-03,Under Review
APP0033,Joy Williams,Web Development,University of Lagos,2025-01-14,Rejected
APP0034,Joy Eze,Cyber Security,University of Ibadan,2025-01-30,Selected
APP0035,Samuel Bello,Mobile App Development,"University of Nigeria, Nsukka",2025-01-17,Selected
APP0036,Mariam Udo,Mobile App Development,"Federal University of Technology, Akure",2025-01-24,Rejected
APP0037,Ngozi Williams,Mobile App Development,Covenant University,2025-02-08,Rejected
APP0038,Mariam Chukwu,Cyber Security,Ahmadu Bello University,2025-01-06,Under Review
APP0039,Sarah Okeke,Mobile App Development,University of Ibadan,2025-01-07,Selected
APP0040,Ibrahim Olawale,UI/UX Design,Ahmadu Bello University,2025-01-13,Rejected
APP0041,Mariam Johnson,UI/UX Design,"University of Nigeria, Nsukka",2025-02-11,Selected
APP0042,Fatima Chukwu,Data Science,Covenant University,2025-02-02,Selected
APP0043,Amina Olawale,Web Development,University of Ibadan,2025-02-16,Rejected
APP0044,Ngozi Nwosu,UI/UX Design,Covenant University,2025-01-24,Under Review
APP0045,Ibrahim Nwosu,Data Science,Covenant University,2025-01-06,Selected
APP0046,Mariam Peter,Artificial Intelligence,University of Lagos,2025-01-12,Selected
APP0047,Michael Chukwu,Artificial Intelligence,Babcock University,2025-01-26,Rejected
APP0048,Amina Osei,Data Science,Ahmadu Bello University,2025-02-13,Rejected
APP0049,David Olawale,UI/UX Design,"University of Nigeria, Nsukka",2025-01-30,Selected
APP0050,Oluwatobi Afolabi,Web Development,"Federal University of Technology, Akure",2025-01-07,Selected
APP0051,Ngozi Okafor,Web Development,Covenant University,2025-01-25,Rejected
APP0052,Ngozi Adeyemi,UI/UX Design,Babcock University,2025-01-18,Rejected
APP0053,David Ibrahim,UI/UX Design,Covenant University,2025-01-13,Selected
APP0054,Oluwatobi Okafor,Artificial Intelligence,"Federal University of Technology, Akure",2025-02-12,Selected
APP0055,Samuel Osei,Mobile App Development,Ahmadu Bello University,2025-02-24,Selected
APP0056,Kelechi Eze,Cyber Security,University of Lagos,2025-02-17,Rejected
APP0057,Precious Nwosu,Cyber Security,Ahmadu Bello University,2025-01-07,Selected
APP0058,Yusuf Peter,Data Science,Babcock University,2025-01-14,Under Review
APP0059,Chinedu Ibrahim,UI/UX Design,University of Lagos,2025-02-16,Under Review
APP0060,Mariam Okeke,Web Development,Babcock University,2025-01-09,Rejected
APP0061,Adaeze Mohammed,Mobile App Development,University of Lagos,2025-01-20,Rejected
APP0062,Fatima Osei,Web Development,Babcock University,2025-02-25,Selected
APP0063,Mariam Okeke,Cyber Security,Babcock University,2025-01-28,Selected
APP0064,Sarah Williams,Web Development,"University of Nigeria, Nsukka",2025-01-18,Selected
APP0065,Samuel Eze,Mobile App Development,University of Lagos,2025-01-28,Under Review
APP0066,Samuel Afolabi,Web Development,University of Ibadan,2025-01-11,Selected
APP0067,Mariam Eze,Web Development,Covenant University,2025-01-07,Rejected
APP0068,Michael Afolabi,Mobile App Development,"Federal University of Technology, Akure",2025-02-09,Under Review
APP0069,Ibrahim Chukwu,Artificial Intelligence,University of Ibadan,2025-02-21,Selected
APP0070,Mariam Okafor,Artificial Intelligence,Ahmadu Bello University,2025-01-16,Under Review
APP0071,Michael Okafor,Data Science,University of Ibadan,2025-01-30,Selected
APP0072,Adaeze Williams,Mobile App Development,Babcock University,2025-02-26,Rejected
APP0073,Ibrahim Adeyemi,Cyber Security,Babcock University,2025-02-09,Selected
APP0074,Adaeze Chukwu,UI/UX Design,University of Lagos,2025-02-28,Selected
APP0075,Oluwatobi Okafor,Cyber Security,University of Ibadan,2025-02-13,Rejected
APP0076,Fatima Chukwu,Data Science,Lagos State University,2025-01-12,Under Review
APP0077,Chinedu Osei,Data Science,"University of Nigeria, Nsukka",2025-02-16,Selected
APP0078,Yusuf Williams,Artificial Intelligence,Ahmadu Bello University,2025-02-28,Selected
APP0079,Sarah Olawale,Artificial Intelligence,Covenant University,2025-02-24,Under Review
APP0080,Yusuf Okafor,Data Science,Ahmadu Bello University,2025-01-16,Selected
APP0081,Ngozi Okeke,Web Development,Lagos State University,2025-01-31,Selected
APP0082,Joy Udo,Cyber Security,Babcock University,2025-02-23,Rejected
APP0083,Samuel Osei,Cyber Security,University of Ibadan,2025-02-03,Rejected
APP0084,Fatima Peter,Data Science,Babcock University,2025-02-28,Selected
APP0085,Mariam Udo,Data Science,University of Ibadan,2025-02-09,Rejected
APP0086,Kelechi Okeke,Cyber Security,Covenant University,2025-01-23,Selected
APP0087,Sarah Osei,Mobile App Development,University of Lagos,2025-02-10,Rejected
APP0088,Samuel Okeke,Artificial Intelligence,Lagos State University,2025-02-18,Under Review
APP0089,Joy Peter,Data Science,Babcock University,2025-01-09,Under Review
APP0090,Ibrahim Adeyemi,Data Science,"University of Nigeria, Nsukka",2025-01-14,Selected
APP0091,Samuel Williams,Mobile App Development,Babcock University,2025-01-06,Selected
APP0092,Kelechi Chukwu,Web Development,"University of Nigeria, Nsukka",2025-01-26,Selected
APP0093,Joy Udo,UI/UX Design,"University of Nigeria, Nsukka",2025-02-14,Rejected
APP0094,Chinedu Johnson,UI/UX Design,University of Lagos,2025-01-12,Selected
APP0095,Kelechi Udo,Cyber Security,University of Ibadan,2025-02-20,Selected
APP0096,Samuel Eze,Artificial Intelligence,University of Lagos,2025-01-23,Under Review
APP0097,Amina Ibrahim,UI/UX Design,Ahmadu Bello University,2025-02-05,Rejected
APP0098,Ngozi Okeke,Data Science,Babcock University,2025-02-13,Rejected
APP0099,Yusuf Okeke,Data Science,University of Lagos,2025-02-16,Rejected
APP0100,Adaeze Williams,Data Science,"University of Nigeria, Nsukka",2025-02-28,Rejected
APP0101,Joy Olawale,Data Science,"Federal University of Technology, Akure",2025-01-25,Selected
APP0102,Amina Peter,Artificial Intelligence,"University of Nigeria, Nsukka",2025-02-05,Rejected
APP0103,Ngozi Williams,Data Science,Babcock University,2025-01-29,Selected
APP0104,Ibrahim Nwosu,UI/UX Design,"Federal University of Technology, Akure",2025-02-15,Selected
APP0105,Joy Adeyemi,Mobile App Development,Ahmadu Bello University,2025-01-19,Selected
APP0106,Fatima Johnson,Data Science,Lagos State University,2025-01-14,Rejected
APP0107,Ngozi Olawale,Web Development,"Federal University of Technology, Akure",2025-02-09,Rejected
APP0108,Joy Eze,UI/UX Design,University of Ibadan,2025-02-21,Selected
APP0109,Amina Afolabi,Data Science,"University of Nigeria, Nsukka",2025-02-27,Selected
